Benchmark,Compilation_time,type,,,,,,,,,,,
QFT10,0.054,Heuristic,,,,,,,,,,,
QFT4,0.007,Heuristic,,,,,,,,,,,
urf2,7.36,Heuristic,,,,,,,,,,,
QFT13,0.08,Heuristic,,,,,,,,,,,
QFT20,0.12,Heuristic,,,,,,,,,,,
QAOA6,0.053,Heuristic,,,,,,,,,,,
QAOA3,0.004,Heuristic,,,,,,,,,,,
4gt11,0.011,Heuristic,,,,,,,,,,,
rd32,0.0086,Heuristic,,,,,,,,,,,
QFT10,0.464,Optimal,,,,,,,,,,,
QFT4,0.016,Optimal,,,,,,,,,,,
urf2,73.6,Optimal,,,,,,,,,,,
QFT13,2.162,Optimal,,,,,,,,,,,
QFT20,1.2,Optimal,,,,,,,,,,,
QAOA6,0.226,Optimal,,,,,,,,,,, 
QAOA3,0.009,Optimal,,,,,,,,,,,
4gt11,0.021,Optimal,,,,,,,,,,,
rd32,0.067,Optimal,,,,,,,,,,,
QFT10,14.1,Baseline,,,,,,,,,,,
QFT4,1.41,Baseline,,,,,,,,,,,
urf2,1951,Baseline,,,,,,,,,,,
QFT13,18.81,Baseline,,,,,,,,,,,
QFT20,26.73,Baseline,,,,,,,,,,,
QAOA6,8.68,Baseline,,,,,,,,,,,
QAOA3,1.47,Baseline,,,,,,,,,,,
4gt11,1.95,Baseline,,,,,,,,,,,
rd32,2.33,Baseline,,,,,,,,,,,
